Total Midyear Population for the World: 1950-2050

  ------------------------------------------------------------------------

                              Average         Average
                               annual          annual
                               growth      population
    Year        Population   rate (%)          change
  ------------------------------------------------------------------------

    1950     2,555,982,611       1.47     37,768,237
    1951     2,593,750,848       1.61     42,042,862
    1952     2,635,793,710       1.70     45,320,983
    1953     2,681,114,693       1.77     47,842,880
    1954     2,728,957,573       1.86     51,339,043

    1955     2,780,296,616       1.88     52,854,158
    1956     2,833,150,774       1.95     55,718,773
    1957     2,888,869,547       1.93     56,393,986
    1958     2,945,263,533       1.76     52,218,932
    1959     2,997,482,465       1.39     41,951,479

    1960     3,039,433,944       1.33     40,629,803
    1961     3,080,063,747       1.80     56,018,983
    1962     3,136,082,730       2.19     69,405,494
    1963     3,205,488,224       2.19     71,002,977
    1964     3,276,491,201       2.08     68,918,678

    1965     3,345,409,879       2.07     70,135,995
    1966     3,415,545,874       2.02     69,649,013
    1967     3,485,194,887       2.04     71,751,266
    1968     3,556,946,153       2.07     74,532,014
    1969     3,631,478,167       2.05     75,127,263

    1970     3,706,605,430       2.07     77,399,396
    1971     3,784,004,826       2.01     76,797,341
    1972     3,860,802,167       1.96     76,393,387
    1973     3,937,195,554       1.91     75,729,110
    1974     4,012,924,664       1.81     73,487,421

    1975     4,086,412,085       1.75     72,053,523
    1976     4,158,465,608       1.72     72,335,321
    1977     4,230,800,929       1.69     72,273,330
    1978     4,303,074,259       1.73     75,193,122
    1979     4,378,267,381       1.71     75,642,427

    1980     4,453,909,808       1.69     76,039,499
    1981     4,529,949,307       1.75     80,168,081
    1982     4,610,117,388       1.73     80,250,158
    1983     4,690,367,546       1.68     79,329,325
    1984     4,769,696,871       1.68     80,601,508

    1985     4,850,298,379       1.68     82,358,080
    1986     4,932,656,459       1.72     85,726,195
    1987     5,018,382,654       1.71     86,297,258
    1988     5,104,679,912       1.67     85,999,672
    1989     5,190,679,584       1.66     86,932,903

    1990     5,277,612,487       1.56     82,824,340
    1991     5,360,436,827       1.54     83,061,012
    1992     5,443,497,839       1.49     81,950,829
    1993     5,525,448,668       1.45     80,488,013
    1994     5,605,936,681       1.43     80,609,621

    1995     5,686,546,302       1.39     79,323,879
    1996     5,765,870,181       1.38     80,303,156
    1997     5,846,173,337       1.34     78,985,158
    1998     5,925,158,495       1.32     78,441,630
    1999     6,003,600,125       1.29     77,925,034

    2000     6,081,525,159       1.27     77,461,768
    2001     6,158,986,927       1.25     77,172,243
    2002     6,236,159,170       1.23     76,875,952
    2003     6,313,035,122       1.21     76,550,888
    2004     6,389,586,010       1.18     76,142,275

    2005     6,465,728,285       1.17     75,966,274
    2006     6,541,694,559       1.16     76,069,508
    2007     6,617,764,067       1.14     76,188,253
    2008     6,693,952,320       1.13     76,294,170
    2009     6,770,246,490       1.12     76,311,761

    2010     6,846,558,251       1.11     76,285,128
    2011     6,922,843,379       1.09     76,131,391
    2012     6,998,974,770       1.08     75,653,154
    2013     7,074,627,924       1.05     74,941,864
    2014     7,149,569,788       1.03     74,067,101

    2015     7,223,636,889       1.01     73,208,044
    2016     7,296,844,933       0.99     72,416,695
    2017     7,369,261,628       0.97     71,558,106
    2018     7,440,819,734       0.95     70,657,254
    2019     7,511,476,988       0.92     69,700,365

    2020     7,581,177,353       0.90     68,911,583
    2021     7,650,088,936       0.89     68,285,349
    2022     7,718,374,285       0.87     67,573,833
    2023     7,785,948,118       0.85     66,843,601
    2024     7,852,791,719       0.84     66,105,149

    2025     7,918,896,868       0.82     65,503,744
    2026     7,984,400,612       0.81     65,031,515
    2027     8,049,432,127       0.80     64,509,283
    2028     8,113,941,410       0.79     63,995,237
    2029     8,177,936,647       0.77     63,504,161

    2030     8,241,440,808       0.76     63,067,429
    2031     8,304,508,237       0.75     62,638,791
    2032     8,367,147,028       0.74     62,085,290
    2033     8,429,232,318       0.73     61,487,406
    2034     8,490,719,724       0.71     60,879,805

    2035     8,551,599,529       0.70     60,222,882
    2036     8,611,822,411       0.69     59,460,727
    2037     8,671,283,138       0.67     58,459,864
    2038     8,729,743,002       0.65     57,344,215
    2039     8,787,087,217       0.64     56,261,545

    2040     8,843,348,762       0.62     55,152,104
    2041     8,898,500,866       0.60     53,989,593
    2042     8,952,490,459       0.59     52,709,522
    2043     9,005,199,981       0.57     51,388,505
    2044     9,056,588,486       0.55     50,147,307

    2045     9,106,735,793       0.54     48,938,178
    2046     9,155,673,971       0.52     47,711,497
    2047     9,203,385,468       0.50     46,354,168
    2048     9,249,739,636       0.48     44,943,399
    2049     9,294,683,035       0.47     43,652,077

    2050     9,338,335,112

  ------------------------------------------------------------------------

Source: U.S. Bureau of the Census, International Data Base.
Note:  Data updated 4-6-98.
